Product_Description,Product_Image,Discounted_Price,Product_Rating
Lenovo 10W QUALCOMM SNAPDRAGON 4GB RAM 64GB EMMC 10.1 TOUCH DETACHABLE WINS 11,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/0026373/1.jpg?9975,"₦ 240,000",1
Hp Notebook 11 Pro G5 TOUCHSCREEN-512GB SSD 4GB RAM- Intel Celeron - Windows 10 Pro + Bag,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/6754352/1.jpg?2446,"₦ 600,000",1
"DELL Refurbished Dell Latitude E5470 14-Inch Laptop (Intel Core-i5-6300U Upto 3.0 GHz, 8GB RAM 256GB ROM..",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/4995193/1.jpg?6467,"₦ 272,290",0
"Apple MacBook Pro 16.2"" 40 Core 48GB/1TB M3 Max - Black",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/9579843/1.jpg?6121,"₦ 6,500,999",0
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/8440263/1.jpg?2611,"₦ 510,000",1
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/2879913/1.jpg?7528,"₦ 569,000",0
Hp ProBook 11 X360- TOUCH Intel Celeron 128GB 4GB RAM WIN10 Pro,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/1511413/1.jpg?8304,"₦ 240,000",1
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD,4GB NVIDIA RTX 2050 WINS 11",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/6773042/1.jpg?1984,"₦ 1,421,800",1
Hp EliteBook 840 G5 Intel Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/7325423/1.jpg?6408,"₦ 470,000",0
Hp EliteBook 840 G6 Intel Core I5 16GB RAM/512GB SSD/Backlit Keyboard/ Touch FP Reader Wins 11 Pro,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/261498/1.jpg?5029,"₦ 585,000",1
Hp EliteBook 830 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit TOUCHSCREEN/FP Reader Wins 11 Laptop +BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/1840913/1.jpg?0170,"₦ 560,000 - ₦ 590,000",1
Hp ELITEBOOK 840 G6 TOUCHSCREEN CORE I5 8GB RAM/ 256GB SSD BACKLIT KEYBOARD FP READER WIN 11 PRO,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/3249362/1.jpg?6896,"₦ 515,000",0
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro+ BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/2708272/1.jpg?1209,"₦ 560,000",0
Hp ProBook 11 X360- TOUCH- 512GB SSD/8GB RAM-Intel CORE I5- W11,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/2058192/1.jpg?4640,"₦ 380,000",0
Hp EliteBook 840 G5 TOUCHSCREEN Intel Core I7/1TB SSD/16GB RAM/FP READER/ WINDOWS11 +BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/3788362/1.jpg?3488,"₦ 755,000",0
Hp EliteBook 840 G5 Intel Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/5189123/1.jpg?9034,"₦ 470,000",0
"DELL Latitude 7490 Intel Core I5, Keyboard Backlit, 8GB RAM, 256GB SSD Windows 11 + Free Mouse",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/9085042/1.jpg?4805,"₦ 380,000",1
Hp EliteBook 840 G5 TOUCHSCREEN Intel Core I7-32GB RAM/512GB SSD/Backlit Keyboard/ WIN 11 Pro+BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/3980262/1.jpg?8598,"₦ 750,000",1
Hp EliteBook 840 G5 Intel Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/9389123/1.jpg?9155,"₦ 470,000",0
